Venue Category,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude
Ski Area,Kraków,50.06045,19.93243,Siepraw Ski,49.90496242157911,19.99479516306899
Ski Area,Helsinki,60.17116,24.93266,Oittaan ladut,60.23998909876104,24.657905036427458
Ski Area,Düsseldorf,51.21564,6.77662,Alpenpark Neuss,51.171399693870804,6.649000873243011
Australian Restaurant,Milan,45.46796,9.18178,La Buatta del Kangaroo,45.5436963127724,9.187765374966071
Australian Restaurant,Amsterdam,52.36994,4.90788,DroversDog,52.362545238658164,4.9349523353462095
Australian Restaurant,Hanover,52.37228,9.73816,OutbaX Spirit,52.401420564222626,9.802863954630178
Mountain,Berlin,52.51605,13.37691,Drachenberg,52.50259438511879,13.249834009043283
Mountain,Berlin,52.51605,13.37691,Hahneberg,52.51809976365255,13.1501015314598
Mountain,Vienna,48.20263,16.36843,Kahlenberg,48.27449309715213,16.33684228393701
Mountain,Vienna,48.20263,16.36843,Leopoldsberg,48.27810267018187,16.34550278109301
Mountain,Budapest,47.49973,19.05508,Gellért-hegy,47.48638199360751,19.046945571899414
Mountain,Budapest,47.49973,19.05508,Hármashatár-hegy,47.55549399538409,18.9989896146647
Mountain,Budapest,47.49973,19.05508,Aranyhegy,47.5716909760895,19.02730463277868
Mountain,Barcelona,41.38804,2.17001,Muntanya Pelada,41.41827544063098,2.153213675012205
Mountain,Barcelona,41.38804,2.17001,Muntanya de Tibidabo,41.42346304302527,2.1194536745075383
Mountain,Marseille,43.29338,5.37132,Cap Canaille,43.19967134460562,5.552279968636882
Mountain,Frankfurt,50.11208,8.68342,Altkönig,50.212119387791994,8.482346534729004
Mountain,Athens,37.97614,23.7364,Mount Ymittos (Όρος Υμηττός),37.956156602689205,23.81765776587104
Mountain,Athens,37.97614,23.7364,Mount Penteli (Όρος Πεντέλη),38.056514697333846,23.863182229765922
Mountain,Athens,37.97614,23.7364,Parnitha (Πάρνηθα),38.145762579180364,23.719654083251953
Mountain,Stuttgart,48.76779,9.17203,Birkenkopf,48.76536035535579,9.131595894988449
Mountain,Dortmund,51.51661,7.4583,Tippelsberg,51.50711420852487,7.226855179627479
Mountain,Essen,51.45183,7.01109,Tippelsberg,51.50711420852487,7.226855179627479
Mountain,Essen,51.45183,7.01109,Halde Hoheward,51.56855296643325,7.1703041890978
Mountain,Bologna,44.50485,11.34507,Appennino Tosco Emiliano,44.350543754972385,11.263541143849455
Mountain,Bochum,51.488,7.21399,Tippelsberg,51.50711420852487,7.226855179627479
Mountain,Bochum,51.488,7.21399,Halde Hoheward,51.56855296643325,7.1703041890978
Mountain,Nice,43.70029,7.27766,Col de Vence,43.75929009678161,7.081730073342784
Mountain,Bonn,50.73243,7.10187,Drachenfels,50.66431536241748,7.210056781768799
Mountain,Bonn,50.73243,7.10187,Naturschutzgebiet Rodderberg,50.65283428687122,7.189699450058089
Photography Studio,Düsseldorf,51.21564,6.77662,FotoStudio Fotograf Robert Freund,51.235011941306695,6.788907051086426
Pedestrian Plaza,Paris,48.85718,2.34141,Cour Carrée du Louvre,48.8603598795578,2.3385429382324214
Pedestrian Plaza,Vienna,48.20263,16.36843,Kärntner Straße,48.20700229821187,16.371795303421095
Pedestrian Plaza,Vienna,48.20263,16.36843,Graben,48.2089149326547,16.36937850431819
Pedestrian Plaza,Budapest,47.49973,19.05508,Dumtsa sétány,47.66605814397206,19.076281337782138
Pedestrian Plaza,Milan,45.46796,9.18178,Via Della Spiga,45.469507086421004,9.19724655996214
Pedestrian Plaza,Prague,50.07913,14.43303,II. hradní nádvoří,50.09045862311448,14.398893459081876
Pedestrian Plaza,Prague,50.07913,14.43303,Letenská pláň,50.09752772890083,14.415585994720459
Pedestrian Plaza,Cologne,50.94168,6.95517,Rheinpromenade,50.945449417756926,6.96364209043918
Pedestrian Plaza,Cologne,50.94168,6.95517,Deutzer Rheinufer,50.935176897255666,6.969451904296875
Pedestrian Plaza,Cologne,50.94168,6.95517,Rheinufer Altstadt,50.93882659733972,6.962870027971316
Pedestrian Plaza,Cologne,50.94168,6.95517,Rheinufer Köln-Porz,50.88494915484723,7.054277207415291
Pedestrian Plaza,Cologne,50.94168,6.95517,Fußgängerzone Bergisch Gladbach,50.99110977041146,7.126136058968944
Pedestrian Plaza,Kraków,50.06045,19.93243,Bulwar Poleski,50.05158392386683,19.934959737669196
Pedestrian Plaza,Athens,37.97614,23.7364,Dionysiou Areopagitou (Διονυσίου Αρεοπαγίτου),37.96949962694601,23.729630090695938
Pedestrian Plaza,Athens,37.97614,23.7364,Αποστόλου Παύλου,37.972999761848115,23.72050691079445
Pedestrian Plaza,Riga,56.94599,24.11487,Krasta ielas promenāde,56.940542,24.116932
Pedestrian Plaza,Riga,56.94599,24.11487,Daugavas promenāde,56.92060556436492,24.178339076096364
Pedestrian Plaza,Riga,56.94599,24.11487,Jomas iela,56.97312478559768,23.803217234358755
Pedestrian Plaza,Düsseldorf,51.21564,6.77662,Rheinuferpromenade,51.22527547797048,6.7702036453461725
Pedestrian Plaza,Düsseldorf,51.21564,6.77662,Rheinufer,51.22111788042267,6.767457773523959
Pedestrian Plaza,Bremen,53.07537,8.80454,Obernstraße mit Domblick,53.077173520227944,8.80545719622813
Pedestrian Plaza,Hanover,52.37228,9.73816,Lister Meile,52.384070442239896,9.74682104170031
Pedestrian Plaza,Lyon,45.75917,4.82966,Rue Saint-Jean,45.76254270284707,4.827629046437778
Pedestrian Plaza,Lyon,45.75917,4.82966,Berges du Rhône,45.76361611013981,4.840893745422363
Pedestrian Plaza,Duisburg,51.43148,6.76356,CentrO Promenade,51.49144186480082,6.87755422054471
Pedestrian Plaza,Palma de Mallorca,39.57149,2.64694,Passeig des Born,39.56960565719836,2.6465171642069008
Pedestrian Plaza,Brno,49.19728,16.60368,Ostrůvek bezpečí mezi kolejemi na České,49.197613,16.605247
Pedestrian Plaza,Bonn,50.73243,7.10187,Rheinufer Köln-Porz,50.88494915484723,7.054277207415291
Pedestrian Plaza,Bonn,50.73243,7.10187,Rheinpromenade Remagen,50.57997576484104,7.23057667343878
Pedestrian Plaza,Mannheim,49.48651,8.46679,Hauptstraße,49.410412425841265,8.697520508594607
Island,Paris,48.85718,2.34141,Île des Impressionnistes,48.886730941578264,2.1614610481327143
Island,Budapest,47.49973,19.05508,Margitsziget,47.52751787563006,19.04780387878418
Island,Prague,50.07913,14.43303,Kampa,50.083981323773244,14.407711029052734
Island,Prague,50.07913,14.43303,Střelecký ostrov,50.08184714052992,14.409899711608887
Island,Naples,40.84016,14.25222,Isolotto di Megaride (Borgo Marinari),40.828287826677105,14.248414394084005
Island,Amsterdam,52.36994,4.90788,Marken,52.45753531546697,5.102246667716513
Island,Marseille,43.29338,5.37132,Île de Riou,43.177548188824325,5.383021831512451
Island,Helsinki,60.17116,24.93266,Pihlajasaari,60.137952,24.915003
Island,Helsinki,60.17116,24.93266,Mustikkamaa / Blåbärslandet,60.18149314744058,24.98862110349742
Island,Helsinki,60.17116,24.93266,Suomenlinna / Sveaborg (Suomenlinna),60.14639714311618,24.988703727722168
Island,Rotterdam,51.91439,4.48717,Noordereiland,51.91371155365092,4.495979731959574
Island,Gothenburg,57.70068,11.96823,Vrångö,57.59956748991905,11.792000797841697
Art Gallery,Madrid,40.41956,-3.69196,Fundación Mapfre Recoletos,40.42245013153158,-3.6921511784298437
Art Gallery,Madrid,40.41956,-3.69196,Tabacalera  Promoción del Arte,40.40638581945433,-3.7032421479989543
Art Gallery,Madrid,40.41956,-3.69196,Matadero Madrid,40.39227020881504,-3.697500228881836
Art Gallery,Madrid,40.41956,-3.69196,CA2M Centro de Arte 2 de Mayo,40.324614030747576,-3.8632492215119143
Art Gallery,Milan,45.46796,9.18178,Palazzo Reale,45.46295958166468,9.191347534052955
Art Gallery,Milan,45.46796,9.18178,Pirelli Hangar Bicocca,45.520988361342766,9.219256699208465
Art Gallery,Prague,50.07913,14.43303,Pelléova Villa,50.09912538151905,14.407441346866054
Art Gallery,Prague,50.07913,14.43303,DOX Centre for Contemporary Art (DOX Centrum současného umění),50.10689119439508,14.447515602960527
Art Gallery,Stockholm,59.33258,18.06683,Artipelag,59.306431350461324,18.34686757472573
Art Gallery,Copenhagen,55.67567,12.56756,Cisternerne,55.669541,12.524161
Art Gallery,Valencia,39.46895,-0.37686,La Fábrica de Hielo,39.46963816938967,-0.3250854814857106
Art Gallery,Kraków,50.06045,19.93243,MNK Kamienica Szołayskich,50.06343990326279,19.935738784787127
Art Gallery,Athens,37.97614,23.7364,Lighthouse (SNFCC),37.93949298745599,23.691071830540952
Art Gallery,Helsinki,60.17116,24.93266,Taidehalli,60.172127213487165,24.93101423081712
Art Gallery,Riga,56.94599,24.11487,Imanta tattoo,56.95076494483624,24.125620483964717
