,Code,Rank,University,URL,Address,Lat,Lon
0,DE,8,LMU Munich,https://www.timeshighereducation.com/world-university-rankings/lmu-munich,"Geschwister-Scholl-Platz 1, Munich, 80539, Germany",48.1505,11.5803
1,SE,10,Karolinska Institute,https://www.timeshighereducation.com/world-university-rankings/karolinska-institute,"SE-171 77, Stockholm, Sweden",59.29349,18.08222
2,DE,11,Technical University of Munich,https://www.timeshighereducation.com/world-university-rankings/technical-university-munich,"Arcisstraße 21, Munich, D-80333, Germany",48.14885,11.568
3,DE,12,Heidelberg University,https://www.timeshighereducation.com/world-university-rankings/heidelberg-university,"310 E. Market Street, Tiffin, Ohio, 44883, United States",41.11633,-83.16853
4,BE,14,KU Leuven,https://www.timeshighereducation.com/world-university-rankings/ku-leuven,"Oude Markt 13, Leuven, 3000, Belgium",50.87794,4.70032
5,FR,15,Paris Sciences et Lettres – PSL Research University Paris,https://www.timeshighereducation.com/world-university-rankings/paris-sciences-et-lettres-psl-research-university-paris,"60 rue Mazarine, Paris, 75006, France",48.85468,2.3376
6,NL,17,Wageningen University & Research,https://www.timeshighereducation.com/world-university-rankings/wageningen-university-research,"Droevendaalsesteeg 4, Building nr. 104, Wageningen, 6702 PB, Netherlands",51.98633,5.66794
7,NL,18,University of Amsterdam,https://www.timeshighereducation.com/world-university-rankings/university-amsterdam,"P.O. Box 19268, 1000 GG Amsterdam, Netherlands",52.36994,4.90788
8,NL,19,Leiden University,https://www.timeshighereducation.com/world-university-rankings/leiden-university,"PO Box 9500, Leiden, 2300, Netherlands",52.15364,4.49381
9,NL,20,Erasmus University Rotterdam,https://www.timeshighereducation.com/world-university-rankings/erasmus-university-rotterdam,"Burgemeester Oudlaan 50, Rotterdam, 3062 PA, Netherlands",51.91906,4.52516
10,DE,22,Charité - Universitätsmedizin Berlin,https://www.timeshighereducation.com/world-university-rankings/charite-universitatsmedizin-berlin,"Charitéplatz 1, 10117 Berlin, Germany",52.52364,13.37821
11,NL,23,Utrecht University,https://www.timeshighereducation.com/world-university-rankings/utrecht-university,"P.O Box 80125, TC Utrecht, 3508, Netherlands",52.08979,5.11415
12,NL,25,Delft University of Technology,https://www.timeshighereducation.com/world-university-rankings/delft-university-technology,"Postbus 5, 2600 AA Delft, Netherlands",52.00878,4.36535
13,DE,25,University of Tübingen,https://www.timeshighereducation.com/world-university-rankings/university-tubingen,"Geschwister-Scholl-Platz, Tubingen, 72074, Germany",48.52435,9.05997
14,DE,27,Humboldt University of Berlin,https://www.timeshighereducation.com/world-university-rankings/humboldt-university-berlin,"Unter den Linden 6, D-10099 Berlin, Germany",52.51762,13.39376
15,NL,27,University of Groningen,https://www.timeshighereducation.com/world-university-rankings/university-groningen,"PO Box 72, 9700 AB Groningen, Netherlands",53.21687,6.57394
16,DE,29,University of Freiburg,https://www.timeshighereducation.com/world-university-rankings/university-freiburg,"Fahnenbergplatz, 79085 Freiburg, Germany",47.9986,7.84848
17,DK,30,University of Copenhagen,https://www.timeshighereducation.com/world-university-rankings/university-copenhagen,"Nørregade 10 Postboks 2177, 1017 København K, Denmark",55.68012,12.57151
18,FR,31,École Polytechnique,https://www.timeshighereducation.com/world-university-rankings/ecole-polytechnique,"Route de Saclay, Palaiseau, 91128, France",48.71895,2.21719
19,FR,31,Sorbonne University,https://www.timeshighereducation.com/world-university-rankings/sorbonne-university,"21 Rue de l'Ecole-de-Medecine, Paris, 75006, France",48.85123,2.34038
20,FI,36,University of Helsinki,https://www.timeshighereducation.com/world-university-rankings/university-helsinki,"P.O. Box 4, (Yliopistonkatu 3), 00014, Finland",60.30898,25.39256
21,BE,37,Ghent University,https://www.timeshighereducation.com/world-university-rankings/ghent-university,"Sint-Pietersnieuwstraat, B - 9000 Ghent, Belgium",51.04475,3.72653
22,SE,38,Lund University,https://www.timeshighereducation.com/world-university-rankings/lund-university,"Box 117, 221 00 Lund, Sweden",64.74951,20.89238
23,DK,39,Aarhus University,https://www.timeshighereducation.com/world-university-rankings/aarhus-university,"Nordre Ringgade 1 8000 Aarhus C, DK - Denmark, Denmark",56.17104,10.19937
24,DE,40,RWTH Aachen University,https://www.timeshighereducation.com/world-university-rankings/rwth-aachen-university,"Templergraben 55, 52056 Aachen, Germany",50.77764,6.07794
25,SE,44,Uppsala University,https://www.timeshighereducation.com/world-university-rankings/uppsala-university,"P.O. Box 256, SE-751 05, Uppsala, Sweden",59.65727,16.69322
26,DE,45,University of Bonn,https://www.timeshighereducation.com/world-university-rankings/university-bonn,"Regina Pacis Weg 3, D-53012 Bonn, Germany",50.73404,7.10384
27,NL,46,Vrije Universiteit Amsterdam,https://www.timeshighereducation.com/world-university-rankings/vrije-universiteit-amsterdam,"De Boelelaan 1105, Amsterdam, 1081 HV, Netherlands",52.33459,4.86648
28,DE,47,Free University of Berlin,https://www.timeshighereducation.com/world-university-rankings/free-university-berlin,"Kaiserswerther Str. 16-18, 14195 Berlin, Germany",52.44797,13.286
29,NL,48,Maastricht University,https://www.timeshighereducation.com/world-university-rankings/maastricht-university,"Postbus 616, Maastricht, 6200 MD, Netherlands",50.84982,5.68829
30,DE,52,University of Göttingen,https://www.timeshighereducation.com/world-university-rankings/university-gottingen,"Wilhelmsplatz, 37073 Göttingen, Germany",51.53381,9.93857
31,DE,54,University of Hamburg,https://www.timeshighereducation.com/world-university-rankings/university-hamburg,"Mittelweg 177, 20148 Hamburg, Germany",53.56399,9.99506
32,FR,55,University of Paris,https://www.timeshighereducation.com/world-university-rankings/university-paris,"85 boulevard Saint-Germain, cedex 06, Paris, Ile-de-France, 75006, France",48.85191,2.3401
33,NL,55,Radboud University Nijmegen,https://www.timeshighereducation.com/world-university-rankings/radboud-university-nijmegen,"Comeniuslaan 4, 6525 HP Nijmegen, Netherlands",51.81963,5.85692
34,DE,58,University of Würzburg,https://www.timeshighereducation.com/world-university-rankings/university-wurzburg,"Sanderring 2, Würzburg, 97070, Germany",49.78818,9.93524
35,DE,58,Technical University of Berlin,https://www.timeshighereducation.com/world-university-rankings/technical-university-berlin,"Straße des 17. Juni 135, D-10623 Berlin, Germany",52.51231,13.32698
36,DE,58,Ulm University,https://www.timeshighereducation.com/world-university-rankings/ulm-university,"Helmholtzstraße 16, Ulm, 89081, Germany",48.42521,9.96286
37,DE,58,University of Mannheim,https://www.timeshighereducation.com/world-university-rankings/university-mannheim,"Schloss, 68131 Mannheim, Germany",49.51322,8.48993
38,DE,62,University of Cologne,https://www.timeshighereducation.com/world-university-rankings/university-cologne,"Universitätsstraße 24, Cologne, 50931, Germany",50.93029,6.92742
39,DE,65,TU Dresden,https://www.timeshighereducation.com/world-university-rankings/tu-dresden,"D-01062 Dresden, Germany",51.05364,13.74082
40,ES,65,Pompeu Fabra University,https://www.timeshighereducation.com/world-university-rankings/pompeu-fabra-university,"Placa de la Merce 10-12, Barcelona, 08002, Spain",41.37898,2.17924
41,BE,73,Université Catholique de Louvain,https://www.timeshighereducation.com/world-university-rankings/universite-catholique-de-louvain,"1 Place de l'Université, Louvain-la-Neuve, B-1348, Belgium",50.6698128,4.6155308
42,AT,73,University of Vienna,https://www.timeshighereducation.com/world-university-rankings/university-vienna,"Universitätsring 1 1010, Vienna, Austria",48.21301,16.36086
43,IT,75,University of Bologna,https://www.timeshighereducation.com/world-university-rankings/university-bologna,"Via Zamboni 33, Bologna, 40126, Italy",44.49691,11.35241
44,BE,76,University of Antwerp,https://www.timeshighereducation.com/world-university-rankings/university-antwerp,"Prinsstraat 13, 2000 Antwerpen, Belgium",51.2221428,4.4097577
45,IT,76,Sant’Anna School of Advanced Studies – Pisa,https://www.timeshighereducation.com/world-university-rankings/santanna-school-advanced-studies-pisa,"Piazza Martiri della Libertà,, Pisa, 56127, Italy",43.7204,10.40404
46,FR,81,Paris-Saclay University,https://www.timeshighereducation.com/world-university-rankings/paris-saclay-university,"Espace Technologique, Bat. Discovery - RD 128 - 2e é, Saint-Aubin, 91190, France",48.71482,2.14084
47,IT,84,Scuola Normale Superiore di Pisa,https://www.timeshighereducation.com/world-university-rankings/scuola-normale-superiore-di-pisa,"Piazza dei Cavalieri, 7, Pisa, 56126, Italy",43.71964,10.40029
48,ES,85,Autonomous University of Barcelona,https://www.timeshighereducation.com/world-university-rankings/autonomous-university-barcelona,"Placa Civica, Campus de la UAB, Barcelona, 08193, Spain",41.50243,2.10474
49,SE,86,Stockholm University,https://www.timeshighereducation.com/world-university-rankings/stockholm-university,"SE-106 91, Stockholm, Sweden",59.47845,17.77873
50,NL,87,Eindhoven University of Technology,https://www.timeshighereducation.com/world-university-rankings/eindhoven-university-technology,"Postbus 513, Eindhoven, 5600, Netherlands",51.43598,5.48533
51,DK,87,Technical University of Denmark,https://www.timeshighereducation.com/world-university-rankings/technical-university-denmark,"Anker Engelunds Vej 1, 2800 Kgs. Lyngby, Denmark",55.7857163,12.5225252
52,SE,89,University of Gothenburg,https://www.timeshighereducation.com/world-university-rankings/university-gothenburg,"PO Box 100, SE-405 30, Gothenburg, Sweden",57.79101,11.99663
53,DE,92,University of Münster,https://www.timeshighereducation.com/world-university-rankings/university-munster,"Schlossplatz 2, 48149 Munster, Germany",51.96361,7.61314
54,DE,93,University of Erlangen-Nuremberg,https://www.timeshighereducation.com/world-university-rankings/university-erlangen-nuremberg,"Schlossplatz 4, Erlangen, 91054, Germany",49.59788,11.00453
55,ES,93,University of Barcelona,https://www.timeshighereducation.com/world-university-rankings/university-barcelona,"Gr. Via de les Corts Catalanes, 585, Barcelona, 08007, Spain",41.38654,2.16401
56,IT,97,Sapienza University of Rome,https://www.timeshighereducation.com/world-university-rankings/sapienza-university-rome,"Piazzale Aldo Moro 5, Rome, 00185, Italy",41.9015,12.51243
57,FR,97,Télécom Paris,https://www.timeshighereducation.com/world-university-rankings/telecom-paris,"46 rue Barrault F-75634 Paris, Cedex 13, France",48.82648,2.34649
58,DE,97,University of Duisburg-Essen,https://www.timeshighereducation.com/world-university-rankings/university-duisburg-essen,"Universitätsstraße 2, Essen, 45141, Germany",51.46313,7.00332
59,NL,97,Tilburg University,https://www.timeshighereducation.com/world-university-rankings/tilburg-university,"Warandelaan 2, AB Tilburg, 5037, Netherlands",51.56327,5.04171
60,NL,97,University of Twente,https://www.timeshighereducation.com/world-university-rankings/university-twente,"PO Box 217, 7500 AE Enschede, Netherlands",52.22361,6.89551
61,DE,97,University of Hohenheim,https://www.timeshighereducation.com/world-university-rankings/university-hohenheim,"Schloss Hohenheim 1, 70599 Stuttgart, Germany",48.71188,9.21407
62,DE,97,Karlsruhe Institute of Technology,https://www.timeshighereducation.com/world-university-rankings/karlsruhe-institute-technology,"Kaiserstraße 12, Karlsruhe, 76131, Germany",49.0095,8.4114
63,BE,97,Université libre de Bruxelles,https://www.timeshighereducation.com/world-university-rankings/universite-libre-de-bruxelles,"Avenue Franklin Roosevelt 50, 1050 Bruxelles, Belgium",50.81172,4.38108
64,LU,97,University of Luxembourg,https://www.timeshighereducation.com/world-university-rankings/university-luxembourg,"2, avenue de l'Université, L-4365 Esch-sur-Alzette, Luxembourg",49.50441,5.94886
65,AT,97,Medical University of Vienna,https://www.timeshighereducation.com/world-university-rankings/university-vienna,"Universitätsring 1 1010, Vienna, Austria",48.21301,16.36086
66,FI,97,Aalto University,https://www.timeshighereducation.com/world-university-rankings/aalto-university,"PO Box 18000, Aalto, 00076, Finland",60.30898,25.39256
67,SE,97,Chalmers University of Technology,https://www.timeshighereducation.com/world-university-rankings/chalmers-university-technology,"Maskingränd 2, Göteborg, 412 58, Sweden",57.6882,11.97859
68,AT,97,Medical University of Graz,https://www.timeshighereducation.com/world-university-rankings/university-graz,"Universitätsplatz 3, A - 8010 Graz, Austria",47.0776,15.44954
69,DK,97,Copenhagen Business School,https://www.timeshighereducation.com/world-university-rankings/copenhagen-business-school,"Solbjerg Plads 3, DK-2000 Frederiksberg, Denmark",55.68155,12.53045
70,DK,97,Aalborg University,https://www.timeshighereducation.com/world-university-rankings/aalborg-university,"Fredrik Bajers Vej 5 P.O. Box 159, DK - 9100 Aalborg, Denmark",57.01502,9.98686
71,SE,97,KTH Royal Institute of Technology,https://www.timeshighereducation.com/world-university-rankings/kth-royal-institute-technology,"SE-100 44, Stockholm, Sweden",59.29266,18.02925
72,AT,97,Medical University of Innsbruck,https://www.timeshighereducation.com/world-university-rankings/university-innsbruck,"Innrain 52, A-6020 Innsbruck, Austria",47.26292,11.38442
73,DK,122,University of Southern Denmark,https://www.timeshighereducation.com/world-university-rankings/university-southern-denmark,"Campusvej 55 DK-5230, Odense M, Denmark",55.36832,10.42772
74,DE,122,University of Konstanz,https://www.timeshighereducation.com/world-university-rankings/university-konstanz,"Universitätsstraße 10, Konstanz, 78464, Germany",47.68953,9.18823
75,DE,122,Friedrich Schiller University Jena,https://www.timeshighereducation.com/world-university-rankings/friedrich-schiller-university-jena,"Fürstengraben 1, Jena, 07743, Germany",50.92977,11.58959
76,DE,122,Goethe University Frankfurt,https://www.timeshighereducation.com/world-university-rankings/goethe-university-frankfurt,"Grueneburgplatz 1/2nd floor, 60323 Frankfurt, Germany",50.12073,8.67549
77,BE,122,Vrije Universiteit Brussel,https://www.timeshighereducation.com/world-university-rankings/vrije-universiteit-brussel,"Pleinlaan 2, 1050 Brussel, Belgium",50.82301,4.39262
78,IT,122,University of Padua,https://www.timeshighereducation.com/world-university-rankings/university-padua,"Via 8 Febbraio 2, Padova, 35122, Italy",45.40667,11.87691
79,IT,122,Vita-Salute San Raffaele University,https://www.timeshighereducation.com/world-university-rankings/vita-salute-san-raffaele-university,"Via Olgettina 58, Milano, 20123, Italy",45.5069,9.26745
80,DE,122,Jacobs University,https://www.timeshighereducation.com/world-university-rankings/jacobs-university,"Jacobs University Bremen Campus Ring 1, 28759 Bremen, Germany",53.16843,8.64876
81,EE,122,University of Tartu,https://www.timeshighereducation.com/world-university-rankings/university-tartu,"Ülikooli 18, Tartu, 50090, Estonia",58.38107,26.71993
82,DE,122,University of Potsdam,https://www.timeshighereducation.com/world-university-rankings/university-potsdam,"Am Neuen Palais 10, 14469 Potsdam, Germany",52.40064,13.01365
83,DE,122,University of Kiel,https://www.timeshighereducation.com/world-university-rankings/university-kiel,"Christian-Albrechts-Platz 4, 24118 Kiel, Germany",54.33881,10.12262
84,FR,122,École Normale Supérieure de Lyon,https://www.timeshighereducation.com/world-university-rankings/ecole-normale-superieure,"45 Rue d'Ulm, Cedex 05, Paris, 75230, France",48.84229,2.34429
85,FR,122,École des Ponts ParisTech,https://www.timeshighereducation.com/world-university-rankings/ecole-des-ponts-paristech,"6-8 avenue Blaise-Pascal Cité Descartes, 77455 Champs-sur-Marne, Marne-la-Vallée, France",48.84058,2.58697
86,DE,122,Ruhr University Bochum,https://www.timeshighereducation.com/world-university-rankings/ruhr-university-bochum,"Universitätsstraße 150, 44801 Bochum, Germany",51.44589,7.26046
87,ES,122,University of Navarra,https://www.timeshighereducation.com/world-university-rankings/university-navarra,"Pamplona, Navarra, 31009, Spain",42.7992,-1.64776
88,DE,143,University of Greifswald,https://www.timeshighereducation.com/world-university-rankings/university-greifswald,"Domstraße 11, Greifswald, 17489, Germany",54.09501,13.37469
89,FR,143,Montpellier University,https://www.timeshighereducation.com/world-university-rankings/montpellier-university,"163 rue Auguste Broussonnet, 34090 Montpellier, France",43.61584,3.87204
