,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Berlin,52.51605,13.37691,Brandenburger Tor,52.516246979489246,13.377785682678223,Monument / Landmark
1,Berlin,52.51605,13.37691,Butter Lindner,52.51787932321359,13.380449533542258,Gourmet Shop
2,Berlin,52.51605,13.37691,Dussmann English Bookshop,52.518222843680675,13.389239378375944,Bookstore
3,Berlin,52.51605,13.37691,Dussmann das KulturKaufhaus,52.518312,13.388708,Bookstore
4,Berlin,52.51605,13.37691,Philharmonie,52.509975,13.369776,Concert Hall
5,Berlin,52.51605,13.37691,Freundschaft,52.51829373810599,13.39034378528595,Wine Bar
6,Berlin,52.51605,13.37691,Pierre Boulez Saal,52.51533292570581,13.396217823028564,Concert Hall
7,Berlin,52.51605,13.37691,Großer Tiergarten,52.51418380254327,13.35688591003418,Park
8,Berlin,52.51605,13.37691,ride.bln Studio Mitte,52.5087611625007,13.391629563159995,Cycle Studio
9,Berlin,52.51605,13.37691,Gendarmenmarkt,52.51357005399756,13.392720222473145,Plaza
10,Berlin,52.51605,13.37691,Ischtar-Tor,52.520741776446705,13.397204678584995,Exhibit
11,Berlin,52.51605,13.37691,Kin-Za,52.524928,13.395808,Caucasian Restaurant
12,Berlin,52.51605,13.37691,Flamingo Fresh Food Bar,52.51954067986944,13.385424613952637,Sandwich Place
13,Berlin,52.51605,13.37691,Konzerthaus Berlin,52.51363861144126,13.391794860363007,Concert Hall
14,Berlin,52.51605,13.37691,Die Espressonisten,52.507648415439206,13.388159410183967,Coffee Shop
15,Berlin,52.51605,13.37691,Elemenza,52.503872,13.374201,Coffee Shop
16,Berlin,52.51605,13.37691,BEN RAHIM,52.52516811272114,13.40192843798598,Coffee Shop
17,Berlin,52.51605,13.37691,Das Stue,52.509876037195404,13.346076418149446,Hotel
18,Berlin,52.51605,13.37691,Rosengarten,52.513972285563135,13.35688796731381,Garden
19,Berlin,52.51605,13.37691,vabali spa,52.52760251193211,13.360555171966553,Spa
20,Berlin,52.51605,13.37691,Zeit für Brot,52.53039378519227,13.40185168833682,Bakery
21,Berlin,52.51605,13.37691,Fat Tire Bike Tours,52.521232885960515,13.409109598118372,Bike Rental / Bike Share
22,Berlin,52.51605,13.37691,Urban Nation,52.498676,13.356538,Art Gallery
23,Berlin,52.51605,13.37691,Park am Gleisdreieck - Ostpark,52.49455995724577,13.376661366529206,Park
24,Berlin,52.51605,13.37691,Park am Gleisdreieck - Westpark,52.499029378737674,13.371455669403076,Park
25,Berlin,52.51605,13.37691,Grand Hostel,52.49842203535925,13.384516793290212,Hostel
26,Berlin,52.51605,13.37691,do you read me?!,52.52721193085127,13.397700600251317,Bookstore
27,Berlin,52.51605,13.37691,Beach 61,52.49604052839143,13.37111234664917,Volleyball Court
28,Berlin,52.51605,13.37691,Nonne & Zwerg,52.492640976676846,13.396822214937552,Mediterranean Restaurant
29,Berlin,52.51605,13.37691,Winterfeldt Schokoladen,52.49460282010145,13.353968911488423,Chocolate Shop
30,Berlin,52.51605,13.37691,The Circus Hotel,52.52943130750294,13.401548716608886,Hotel
31,Berlin,52.51605,13.37691,Cuore di vetro,52.52657678557984,13.408722634920323,Ice Cream Shop
32,Berlin,52.51605,13.37691,Coffee Circle Café,52.54381308480629,13.36785614490509,Café
33,Berlin,52.51605,13.37691,Café Komine,52.497845,13.341739,Café
34,Berlin,52.51605,13.37691,Vom Einfachen das Gute,52.53243194347814,13.396565263319,Deli / Bodega
35,Berlin,52.51605,13.37691,Steckerlfisch & Co.,52.53695752074009,13.402142654992542,Seafood Restaurant
36,Berlin,52.51605,13.37691,Landwehrkanal,52.495663106016025,13.409929275512695,Canal
37,Berlin,52.51605,13.37691,ernst,52.544677611082754,13.367968797683714,Modern European Restaurant
38,Berlin,52.51605,13.37691,Viktoriapark,52.488477378543585,13.380188941955566,Park
39,Berlin,52.51605,13.37691,Kraftwerk Berlin,52.510958262206415,13.419746160507202,Event Space
40,Berlin,52.51605,13.37691,Les Pâtisseries de Sébastien,52.532461994787546,13.396976563017251,Pastry Shop
41,Berlin,52.51605,13.37691,Domberger Brot-Werk,52.52379455873132,13.338192365937138,Bakery
42,Berlin,52.51605,13.37691,Weinbergspark,52.53250090252779,13.401453495025635,Park
43,Berlin,52.51605,13.37691,Rapha Berlin,52.52760524020057,13.408639413642092,Café
44,Berlin,52.51605,13.37691,Sotto,52.54283109279643,13.376388251781464,Pizza Place
45,Berlin,52.51605,13.37691,Stagger Lee,52.49771761410062,13.35154363135249,Cocktail Bar
46,Berlin,52.51605,13.37691,Viktoria-Luise-Platz,52.49576761702516,13.34186553955078,Plaza
47,Berlin,52.51605,13.37691,25hours Hotel Bikini Berlin,52.5056871630716,13.337887979167931,Hotel
48,Berlin,52.51605,13.37691,Spontan Coffee,52.52519762835903,13.330072160961876,Coffee Shop
49,Berlin,52.51605,13.37691,Zeit für Brot,52.52805235717804,13.408815964587333,Bakery
50,Berlin,52.51605,13.37691,Baden im Wein,52.537881,13.411955,Wine Bar
51,Berlin,52.51605,13.37691,Sironi (Il Pane di Milano),52.493745,13.353641,Bakery
52,Berlin,52.51605,13.37691,Jones Ice Cream,52.490548,13.353473,Ice Cream Shop
53,Berlin,52.51605,13.37691,The Juicery,52.54071043710187,13.40554118156433,Juice Bar
54,Berlin,52.51605,13.37691,Modulor,52.50349293851038,13.410140375994867,Arts & Crafts Store
55,Berlin,52.51605,13.37691,Obermaier Restaurant-Salon,52.500206,13.4149685,German Restaurant
56,Berlin,52.51605,13.37691,Hirsch & Hase,52.541924,13.393521,Gastropub
57,Berlin,52.51605,13.37691,Hotel Zoo,52.50367707315144,13.329119682312012,Hotel
58,Berlin,52.51605,13.37691,vanille & marille,52.49139100592781,13.386433124542236,Ice Cream Shop
59,Berlin,52.51605,13.37691,Urbanhafen,52.49575847256097,13.407943154743407,Waterfront
60,Berlin,52.51605,13.37691,Picoteo,52.49778068926783,13.41287844565713,Spanish Restaurant
61,Berlin,52.51605,13.37691,Kokio,52.539875,13.41632,Korean Restaurant
62,Berlin,52.51605,13.37691,Manufactum Warenhaus,52.51115322060605,13.322805907441097,Furniture / Home Store
63,Berlin,52.51605,13.37691,Freiluftkino Kreuzberg,52.50407237599784,13.423554232701132,Indie Movie Theater
64,Berlin,52.51605,13.37691,C/O Berlin,52.50678358537336,13.330788985134213,Art Museum
65,Berlin,52.51605,13.37691,Chapter One,52.48976163897703,13.395976072085904,Coffee Shop
66,Berlin,52.51605,13.37691,Saint George's,52.53597689739696,13.421060493864418,Bookstore
67,Berlin,52.51605,13.37691,Wasserfall Viktoriapark,52.489104543341085,13.381980657577515,Waterfall
68,Berlin,52.51605,13.37691,Dan Thai Food,52.547587499002105,13.369250244095339,Thai Restaurant
69,Berlin,52.51605,13.37691,Kreuzberg im Viktoriapark,52.4876580487968,13.381501903949502,Scenic Lookout
70,Berlin,52.51605,13.37691,Weinberg,52.53269995948009,13.424021601676941,Wine Bar
71,Berlin,52.51605,13.37691,Bücherbogen,52.505095181456156,13.321961290189389,Bookstore
72,Berlin,52.51605,13.37691,Basic Wohnen & Leben,52.53804813379958,13.412082327336092,Furniture / Home Store
73,Berlin,52.51605,13.37691,Bonanza Roastery,52.504155208906184,13.4201276518078,Coffee Shop
74,Berlin,52.51605,13.37691,BRÄUGIER BrewPub,52.54215282039202,13.423850798790227,Beer Bar
75,Berlin,52.51605,13.37691,Zeit für Brot,52.54115904393887,13.411777183842078,Bakery
76,Berlin,52.51605,13.37691,Sonntagskaraoke im Mauerpark,52.542874001995436,13.40341355989825,Karaoke Bar
77,Berlin,52.51605,13.37691,Mehlstübchen,52.483855,13.361253,Bakery
78,Berlin,52.51605,13.37691,Tee Tea Thé,52.490227288565116,13.353177985495995,Tea Room
79,Berlin,52.51605,13.37691,Enzo Sushi Bar,52.534618,13.425019,Sushi Restaurant
80,Berlin,52.51605,13.37691,Goldhahn & Sampson,52.54219963187534,13.420430615306818,Gourmet Shop
81,Berlin,52.51605,13.37691,Volkspark Friedrichshain,52.52763188432334,13.435378074645996,Park
82,Berlin,52.51605,13.37691,La Käserie,52.541523533430656,13.415084461337107,Cheese Shop
83,Berlin,52.51605,13.37691,Early Birds,52.53204626343468,13.42362354934389,Ice Cream Shop
