Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Aarhus,124,124,124,124,124,124
Amsterdam,242,242,242,242,242,242
Antwerp,232,232,232,232,232,232
Athens,232,232,232,232,232,232
Barcelona,241,241,241,241,241,241
Bari,101,101,101,101,101,101
Berlin,235,235,235,235,235,235
Bielefeld,151,151,151,151,151,151
Bilbao,84,84,84,84,84,84
Bochum,241,241,241,241,241,241
Bologna,204,204,204,204,204,204
Bonn,213,213,213,213,213,213
Bremen,189,189,189,189,189,189
Brno,242,242,242,242,242,242
Budapest,242,242,242,242,242,242
Catania,151,151,151,151,151,151
Cologne,200,200,200,200,200,200
Copenhagen,242,242,242,242,242,242
Dortmund,223,223,223,223,223,223
Dresden,99,99,99,99,99,99
Duisburg,235,235,235,235,235,235
Düsseldorf,240,240,240,240,240,240
Essen,242,242,242,242,242,242
Florence,238,238,238,238,238,238
Frankfurt,235,235,235,235,235,235
Genoa,83,83,83,83,83,83
Gothenburg,155,155,155,155,155,155
Hamburg,234,234,234,234,234,234
Hanover,168,168,168,168,168,168
Helsinki,241,241,241,241,241,241
Karlsruhe,171,171,171,171,171,171
Kraków,183,183,183,183,183,183
Lisbon,239,239,239,239,239,239
Lyon,198,198,198,198,198,198
Madrid,229,229,229,229,229,229
Malmö,196,196,196,196,196,196
Mannheim,224,224,224,224,224,224
Marseille,172,172,172,172,172,172
Milan,234,234,234,234,234,234
Munich,243,243,243,243,243,243
Münster,65,65,65,65,65,65
Nantes,74,74,74,74,74,74
Naples,214,214,214,214,214,214
Nice,154,154,154,154,154,154
Nuremberg,232,232,232,232,232,232
Palma de Mallorca,230,230,230,230,230,230
Paris,205,205,205,205,205,205
Prague,242,242,242,242,242,242
Riga,226,226,226,226,226,226
Rome,238,238,238,238,238,238
Rotterdam,246,246,246,246,246,246
Stockholm,242,242,242,242,242,242
Stuttgart,171,171,171,171,171,171
The Hague,242,242,242,242,242,242
Toulouse,67,67,67,67,67,67
Turin,193,193,193,193,193,193
Utrecht,218,218,218,218,218,218
Valencia,140,140,140,140,140,140
Vienna,241,241,241,241,241,241
Wuppertal,180,180,180,180,180,180
