,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Novosibirsk,55.03977,82.91017,Академия Кофе,55.0314,82.914292,Gaming Cafe
1,Novosibirsk,55.03977,82.91017,HookahPlace,55.03320581341051,82.9246973991394,Hookah Bar
2,Novosibirsk,55.03977,82.91017,Papa Carlo,55.04858828047319,82.91445565935688,Pizza Place
3,Novosibirsk,55.03977,82.91017,Blackwood Coffee Roastery,55.04925250010613,82.91548187364486,Coffee Shop
4,Novosibirsk,55.03977,82.91017,Tom Yum Bar Gray,55.029187,82.910583,Thai Restaurant
5,Novosibirsk,55.03977,82.91017,Паровозовь,55.04985244911495,82.89484352462757,Bath House
6,Novosibirsk,55.03977,82.91017,"Тайский спа салон ""Оазис-спа""",55.02517643190492,82.91662452458749,Spa
7,Novosibirsk,55.03977,82.91017,Ruby Wine Bar,55.02920606728789,82.91323204163295,Wine Bar
8,Novosibirsk,55.03977,82.91017,Золотое яблоко,55.054267950028255,82.91428387058153,Perfume Shop
9,Novosibirsk,55.03977,82.91017,Победа,55.02927334744451,82.91488999043503,Movie Theater
10,Novosibirsk,55.03977,82.91017,Новосибирский государственный академический театр оперы и балета,55.03038043745681,82.92346857756608,Opera House
11,Novosibirsk,55.03977,82.91017,Nobody knows,55.022739127896905,82.92304870069044,Cocktail Bar
12,Novosibirsk,55.03977,82.91017,Сарай,55.057391153544074,82.90568766834582,Restaurant
13,Novosibirsk,55.03977,82.91017,Flowers SHOP (лавка цветов и декора),55.03186222625175,82.93018929911887,Flower Shop
14,Novosibirsk,55.03977,82.91017,Novosibirsk Marriott Hotel,55.0314593,82.9238645,Hotel
15,Novosibirsk,55.03977,82.91017,Primo Grill,55.04910937712669,82.92437553405762,BBQ Joint
16,Novosibirsk,55.03977,82.91017,Kafema,55.04932690576841,82.91546055150877,Coffee Shop
17,Novosibirsk,55.03977,82.91017,ПИВОFACTORY,55.02274942173569,82.92260512474913,Brewery
18,Novosibirsk,55.03977,82.91017,Пэт & Beer,55.054438425920495,82.91906190999173,Pub
19,Novosibirsk,55.03977,82.91017,Академия Кофе,55.029549,82.917259,Gaming Cafe
20,Novosibirsk,55.03977,82.91017,Новосибирский городской драматический театр под руководством Сергея Афанасьева,55.03186745928604,82.9145418734078,Theater
21,Novosibirsk,55.03977,82.91017,Йохохо магазин крафтового пива,55.03666809231993,82.91742146077212,Beer Store
22,Novosibirsk,55.03977,82.91017,John Gregor old pub,55.02972,82.91513,Pub
23,Novosibirsk,55.03977,82.91017,Jawsspot,55.02694059378918,82.91914010762154,Beer Bar
24,Novosibirsk,55.03977,82.91017,Театральный сквер,55.03018668153855,82.9222297668457,Park
25,Novosibirsk,55.03977,82.91017,Novosibirsk Zoo (Новосибирский зоопарк),55.0563859025176,82.8805160522461,Zoo
26,Novosibirsk,55.03977,82.91017,Чашка кофе,55.04297544296027,82.92166282890945,Coffee Shop
27,Novosibirsk,55.03977,82.91017,Domina Hotel,55.02929135539287,82.90720349272158,Hotel
28,Novosibirsk,55.03977,82.91017,Allfordj,55.030115561915466,82.9164441671996,Music Store
29,Novosibirsk,55.03977,82.91017,Goodman,55.02191798326918,82.91779229552834,Steakhouse
30,Novosibirsk,55.03977,82.91017,Kuzina,55.044562,82.940929,Dessert Shop
31,Novosibirsk,55.03977,82.91017,Государственный Академический Драматический Театр «Красный Факел»,55.02860162442215,82.9084695740524,Theater
32,Novosibirsk,55.03977,82.91017,Кофейня «Кардамон» и лавка «Коллекция Пустяков»,55.025540441294325,82.9154325247904,Coffee Shop
33,Novosibirsk,55.03977,82.91017,Puppen Haus,55.02613589749107,82.92066223903772,Eastern European Restaurant
34,Novosibirsk,55.03977,82.91017,"The Rooks, Shop&Pub Craft Beer",55.02394803241311,82.9235063795949,Pub
35,Novosibirsk,55.03977,82.91017,Дружба,55.0386209269442,82.97617541634207,BBQ Joint
36,Novosibirsk,55.03977,82.91017,La Trenta Trattoria,55.02898253000343,82.91299711109698,Italian Restaurant
37,Novosibirsk,55.03977,82.91017,Бахетле,55.018070973013444,82.94242143630981,Grocery Store
38,Novosibirsk,55.03977,82.91017,Академия Кофе,54.990525,82.908105,Coffee Shop
39,Novosibirsk,55.03977,82.91017,Friends,55.02315882333288,82.92246162525834,Cocktail Bar
40,Novosibirsk,55.03977,82.91017,Новосибирский академический молодёжный театр «Глобус»,55.02492264084788,82.9277229309082,Theater
41,Novosibirsk,55.03977,82.91017,GREEN WOOD Residence & Spa,55.069072259092344,82.81052335146194,Spa
42,Novosibirsk,55.03977,82.91017,Pitchii Coffee & Wine,55.029490426451055,82.9137172352447,Coffee Shop
43,Novosibirsk,55.03977,82.91017,COFFEE COLLECTIVE,55.04266953431849,82.9169980699711,Coffee Shop
44,Novosibirsk,55.03977,82.91017,Kook cafe&bakery,55.03817116774011,82.91479846014832,Coffee Shop
45,Novosibirsk,55.03977,82.91017,Чучвара,55.03172956099552,82.91433076242822,Middle Eastern Restaurant
