,Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,Amsterdam,Coffee Shop,Café,Park,Restaurant,Italian Restaurant,Bar,Pizza Place,Beer Bar,Dessert Shop,Wine Bar
1,Barcelona,Tapas Restaurant,Park,Restaurant,Pizza Place,Coffee Shop,Cocktail Bar,Café,Burger Joint,Wine Bar,Bar
2,Berlin,Park,Coffee Shop,Café,Wine Bar,Cocktail Bar,Pizza Place,Bar,Big Box Store,Thai Restaurant,Beer Bar
3,Budapest,Coffee Shop,Park,Dessert Shop,Pizza Place,Burger Joint,Gym / Fitness Center,Restaurant,Italian Restaurant,Café,Wine Bar
4,Cologne,Café,Park,Italian Restaurant,Restaurant,Cocktail Bar,Coffee Shop,Gym / Fitness Center,Tapas Restaurant,Fast Food Restaurant,Big Box Store
5,Hamburg,Café,Park,Coffee Shop,Pizza Place,Steakhouse,Wine Bar,Asian Restaurant,Cocktail Bar,Restaurant,Movie Theater
6,Madrid,Restaurant,Park,Italian Restaurant,Tapas Restaurant,Coffee Shop,Burger Joint,Café,Theater,Bar,Grocery Store
7,Marseille,Fast Food Restaurant,Bar,Steakhouse,Park,Coffee Shop,Pub,Italian Restaurant,Cosmetics Shop,Perfume Shop,Opera House
8,Milan,Italian Restaurant,Park,Pizza Place,Café,Dessert Shop,Brewery,Cocktail Bar,Restaurant,Burger Joint,Coffee Shop
9,Munich,Café,Italian Restaurant,Park,Cocktail Bar,Steakhouse,Brewery,Thai Restaurant,Bar,Opera House,Gym / Fitness Center
10,Naples,Café,Pizza Place,Italian Restaurant,Pub,Fast Food Restaurant,Cocktail Bar,Restaurant,Burger Joint,Dessert Shop,Coffee Shop
11,Novosibirsk,Coffee Shop,Pub,Park,Theater,Airport Service,BBQ Joint,Grocery Store,Flower Shop,Department Store,Gaming Cafe
12,Paris,Park,Italian Restaurant,Pizza Place,Wine Bar,Pub,Café,Cosmetics Shop,Fast Food Restaurant,Bar,Coffee Shop
13,Prague,Café,Park,Coffee Shop,Restaurant,Asian Restaurant,Bar,Theater,Cocktail Bar,Wine Bar,Pub
14,Rome,Italian Restaurant,Pizza Place,Park,Café,Gym / Fitness Center,Restaurant,Dessert Shop,Pub,Wine Bar,Asian Restaurant
15,Stockholm,Café,Park,Coffee Shop,Pizza Place,Restaurant,Cocktail Bar,Beer Bar,Burger Joint,Bar,Pub
16,Turin,Pizza Place,Italian Restaurant,Café,Fast Food Restaurant,Park,Steakhouse,Wine Bar,Pool,Pub,Cocktail Bar
17,Vienna,Park,Café,Italian Restaurant,Coffee Shop,Restaurant,Asian Restaurant,Pizza Place,Wine Bar,Pool,Gym / Fitness Center
