,Neighborhood,Venue Category,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude
0,Stockholm,Art Gallery,59.33258,18.06683,Artipelag,59.306431350461324,18.34686757472573
1,Stockholm,Bookstore,59.33258,18.06683,Science Fiction Bokhandeln,59.32404679408319,18.070682162632647
2,Stockholm,Bookstore,59.33258,18.06683,Papercut,59.31718276141575,18.054741813193974
3,Stockholm,Bookstore,59.33258,18.06683,Söderbokhandeln,59.3160343,18.0725025
4,Stockholm,Café,59.33258,18.06683,Café Pascal,59.342019417546844,18.05197960945644
5,Stockholm,Café,59.33258,18.06683,af Chapman Café,59.325369881369255,18.08046055647977
6,Stockholm,Café,59.33258,18.06683,Kavalleriet Café,59.33304714419969,18.077662277228423
7,Stockholm,Café,59.33258,18.06683,Pom & Flora,59.34478748758042,18.05863713104891
8,Stockholm,Café,59.33258,18.06683,Bullar & Bröd,59.346599425822774,18.068694507966537
9,Stockholm,Café,59.33258,18.06683,Vete-Katten,59.33417768875955,18.05823909702743
10,Stockholm,Café,59.33258,18.06683,Cafe Mariaberget,59.320225,18.062357
11,Stockholm,Café,59.33258,18.06683,Pom & Flora,59.31386675541034,18.086725505140397
12,Stockholm,Café,59.33258,18.06683,Kajsas i Parken,59.31126107903301,18.091043549952467
13,Stockholm,Café,59.33258,18.06683,Gast,59.33981823199378,18.05663347247394
14,Stockholm,Café,59.33258,18.06683,Borgs Bageri & Systrarna Andersson Kafé,59.34245454567404,18.0363752383698
15,Stockholm,Café,59.33258,18.06683,Vintervikens Trädgårdskafé,59.311146,17.999018
16,Stockholm,Café,59.33258,18.06683,Drop Coffee,59.31691037096143,18.06300390731442
17,Stockholm,Café,59.33258,18.06683,Fjällgatans Kaffestuga,59.317356356510864,18.087287324805455
18,Stockholm,Café,59.33258,18.06683,Gamla Orangeriet,59.369838123390856,18.04609879308665
19,Stockholm,Café,59.33258,18.06683,A.B.Café,59.29957421458804,17.998732087104088
20,Stockholm,Café,59.33258,18.06683,Brygghusets café,59.310227101674506,18.128654543313004
21,Stockholm,Café,59.33258,18.06683,Brioche,59.33271201816168,17.98174750441346
22,Stockholm,Café,59.33258,18.06683,Konditori Lyran,59.30126639038706,17.93616616115986
23,Stockholm,Café,59.33258,18.06683,Långängens Gård,59.357148973717315,18.193649562369895
24,Stockholm,Café,59.33258,18.06683,Viggbyholms Stationskafé,59.449062004974316,18.104021137448605
25,Stockholm,Café,59.33258,18.06683,Vaxholms Hembygdsgårds Café,59.40580225511438,18.351331944673177
26,Stockholm,Cocktail Bar,59.33258,18.06683,Erlands,59.340581,18.040227
27,Stockholm,Cocktail Bar,59.33258,18.06683,Tweed,59.3244713,18.0676958
28,Stockholm,Cocktail Bar,59.33258,18.06683,Corner Club,59.323342388892044,18.069430517409064
29,Stockholm,Cocktail Bar,59.33258,18.06683,Bar Agrikultur,59.31287,18.083247
30,Stockholm,Coffee Shop,59.33258,18.06683,Espresso Sosta Bar,59.340774855630706,18.058568282633864
31,Stockholm,Coffee Shop,59.33258,18.06683,Johan & Nyström,59.316273,18.064016
32,Stockholm,Coffee Shop,59.33258,18.06683,Café Pascal,59.312226621983676,18.078946274835616
33,Stockholm,Coffee Shop,59.33258,18.06683,Mellqvist Kaffebar,59.33971264711748,18.03577577521212
34,Stockholm,Coffee Shop,59.33258,18.06683,Löfbergs,59.336037,18.071749
35,Stockholm,Coffee Shop,59.33258,18.06683,Sempre,59.33495098934464,18.072088151526884
36,Stockholm,Coffee Shop,59.33258,18.06683,Kaffeverket,59.341349,18.038021
37,Stockholm,Coffee Shop,59.33258,18.06683,Cykelcafé Le Mond,59.314578,18.079823
38,Stockholm,Coffee Shop,59.33258,18.06683,Il Caffè,59.32984114116123,18.04312936101536
39,Stockholm,Coffee Shop,59.33258,18.06683,Espressobaren Sorelle,59.331388419877115,18.027673842751426
40,Stockholm,Food Truck,59.33258,18.06683,Funky Chicken Food Truck,59.31538788934707,18.160492549081006
41,Stockholm,Garden Center,59.33258,18.06683,Zetas trädgård och café,59.276026690794986,17.92517936399004
42,Stockholm,Gym / Fitness Center,59.33258,18.06683,SATS,59.332544,18.060433
43,Stockholm,History Museum,59.33258,18.06683,Armémuseum,59.33475120424566,18.080363851945307
44,Stockholm,History Museum,59.33258,18.06683,Vasamuseet,59.32811938036956,18.09166143677861
45,Stockholm,Italian Restaurant,59.33258,18.06683,La Vecchia Signora,59.31431729456325,18.084778413277963
46,Stockholm,Park,59.33258,18.06683,Ivar Los park,59.320608,18.061239
47,Stockholm,Park,59.33258,18.06683,Humlegården,59.33885856970707,18.07138665949116
48,Stockholm,Park,59.33258,18.06683,Vasaparken,59.34013,18.042776
49,Stockholm,Park,59.33258,18.06683,Skinnarviksparken,59.3197859068045,18.048343303372558
50,Stockholm,Park,59.33258,18.06683,Djurgården,59.33052890687453,18.09344931081637
51,Stockholm,Park,59.33258,18.06683,Hagaparken,59.360510780804866,18.036684791273604
52,Stockholm,Park,59.33258,18.06683,Stadshusparken,59.326890922701764,18.054609762838343
53,Stockholm,Park,59.33258,18.06683,Anders Franzéns park,59.31147288824373,18.104834477868874
54,Stockholm,Park,59.33258,18.06683,Kungliga Djurgården,59.32666595408762,18.125123977661133
55,Stockholm,Park,59.33258,18.06683,Aspuddsparken,59.30786380138638,17.994862513287824
56,Stockholm,Park,59.33258,18.06683,Djurgårdsbrunn,59.32990456401749,18.132221187037036
57,Stockholm,Park,59.33258,18.06683,Nyckelviken,59.32302291167995,18.189183386538733
58,Stockholm,Park,59.33258,18.06683,Marabouparken,59.36437120677294,17.95697047522886
59,Stockholm,Park,59.33258,18.06683,Hågelbyparken,59.22089787973441,17.830676298217817
60,Stockholm,Pub,59.33258,18.06683,Akkurat,59.319809,18.06883
61,Stockholm,Pub,59.33258,18.06683,Oxsvansen,59.33467547005233,18.06602669156467
62,Stockholm,Scenic Lookout,59.33258,18.06683,Panoramic View,59.317298364172686,18.08783674588282
63,Stockholm,Steakhouse,59.33258,18.06683,AG Restaurang & Bar,59.33519752313698,18.034913650432504
64,Stockholm,Wine Bar,59.33258,18.06683,Savant Bar,59.34053,18.063525
65,Stockholm,Wine Bar,59.33258,18.06683,Folii,59.31409866418408,18.090154179727616
66,Naples,Bookstore,40.84016,14.25222,Mondadori Multicenter,41.00348586386721,14.32863216706687
67,Naples,Café,40.84016,14.25222,Caffè Salvo,40.84453185235271,14.230490610967331
68,Naples,Café,40.84016,14.25222,Chalet Ciro,40.82621,14.21977
69,Naples,Café,40.84016,14.25222,Bar Giulia,40.86960866773488,14.388814624379142
70,Naples,Café,40.84016,14.25222,Bar La Conchiglia,40.814833632536846,14.335498687567384
71,Naples,Café,40.84016,14.25222,Monkey,40.81822205250669,14.071179428529994
72,Naples,Café,40.84016,14.25222,Bar Gabriele,40.96099161428335,14.194278062479931
73,Naples,Café,40.84016,14.25222,Caffè del Professore,40.785824495331426,14.364180517827238
74,Naples,Café,40.84016,14.25222,Ammot Cafe,40.90256489902893,14.031102576638501
75,Naples,Café,40.84016,14.25222,Village Caffe',40.84017866463708,14.36916867042895
76,Naples,Café,40.84016,14.25222,vittoria black and white,40.84523936779405,14.304147361499686
77,Naples,Café,40.84016,14.25222,Palazzo Vialdo,40.761413,14.428297
78,Naples,Café,40.84016,14.25222,Gran Caffè Elite,40.9174119328118,14.199540861508614
79,Naples,Café,40.84016,14.25222,Le Maistè,40.916481169692744,14.213952487504988
80,Naples,Café,40.84016,14.25222,Caffè Vesuvio,40.808683674145165,14.354219677315339
81,Naples,Café,40.84016,14.25222,Gran Caffè Moscato,40.90397012068619,14.264233690626396
82,Naples,Café,40.84016,14.25222,Yogi Drink,40.83909435778762,14.342040991872809
83,Naples,Café,40.84016,14.25222,Cafe Ercolano,40.8060302734375,14.349343299865723
84,Naples,Café,40.84016,14.25222,Champs Elysees,40.889078453203446,14.081552012013772
